word,rank,cefr,pos,ipa,meaning_vi,example_en,is_concrete_noun,orig_rank,sfi,freq_per_million,topic_code,topic
live,77,A1,v,/lˈaɪv/,sống; ở,They live in a small town.,FALSE,153,67.84,608,NG,Con người & cơ thể
why,78,A1,adv,/wˈaɪ/,tại sao,Why are you so happy today?,FALSE,154,67.83,607,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
world,79,A1,n,/wˈɝld/,thế giới,English is used all over the world.,FALSE,156,67.76,597,KG,"Không gian, vị trí & địa lý"
week,80,A1,n,/wˈik/,tuần,I work five days a week.,FALSE,157,67.75,596,TG,Thời gian
play,81,A1,v,/plˈeɪ/,chơi; biểu diễn,The kids play football together.,FALSE,158,67.73,593,GI,"Nghệ thuật, giải trí & thể thao"
home,82,A1,n,/hˈoʊm/,nhà; quê hương,I stay at home on Sundays.,FALSE,161,67.67,585,NC,"Nhà cửa, đồ vật & trang phục"
never,83,A1,adv,/nˈɛvɚ/,không bao giờ,I never drink coffee at night.,FALSE,162,67.63,580,TG,Thời gian
include,84,A1,v,/ˌɪnklˈud/,bao gồm,The price includes breakfast.,FALSE,163,67.6,575,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
course,85,A1,n,/kˈɔɹs/,khóa học; tiến trình,I am taking an English course.,FALSE,164,67.6,575,HT,Giáo dục & học tập
house,86,A1,n,/hˈaʊs/,ngôi nhà,They live in a big house.,TRUE,165,67.57,572,NC,"Nhà cửa, đồ vật & trang phục"
report,87,A1,n,/ɹipˈɔɹt/,báo cáo; bản tin,She wrote a report about sales.,FALSE,166,67.56,570,GT,"Giao tiếp, ngôn ngữ & truyền thông"
group,88,A1,n,/ɡɹˈup/,nhóm,We work in a small group.,FALSE,167,67.55,569,XH,"Xã hội, cộng đồng, văn hóa & tôn giáo"
case,89,A1,n,/kˈeɪs/,trường hợp; vụ việc; hộp,"In that case, we should wait.",FALSE,168,67.55,569,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
woman,90,A1,n,/wˈʊmən/,người phụ nữ,The woman is a teacher.,FALSE,169,67.55,568,NG,Con người & cơ thể
around,91,A1,prep,/ɚˈaʊnd/,xung quanh; khoảng,We walked around the lake.,FALSE,170,67.54,568,KG,"Không gian, vị trí & địa lý"
book,92,A1,n,/bˈʊk/,quyển sách,I am reading an interesting book.,TRUE,171,67.53,566,GI,"Nghệ thuật, giải trí & thể thao"
family,93,A1,n,/fˈæməli/,gia đình,My family lives in Hanoi.,FALSE,172,67.52,565,GD,Gia đình & quan hệ thân thuộc
seem,94,A1,v,/sˈim/,có vẻ; dường như,You seem tired today.,FALSE,173,67.5,562,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
let,95,A1,v,/lˈɛt/,để cho; cho phép,Let me explain this to you.,FALSE,174,67.44,555,HD,Hành động & chuyển động
kind,96,A1,n,/kˈaɪnd/,loại; kiểu (adj: tử tế),What kind of music do you like?,FALSE,176,67.43,554,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
keep,97,A1,v,/kˈip/,giữ; tiếp tục,Please keep the door open.,FALSE,177,67.41,551,HD,Hành động & chuyển động
hear,98,A1,v,/hˈiɹ/,nghe; nghe thấy,I can hear the birds singing.,FALSE,178,67.37,546,TD,"Tư duy, nhận thức & giác quan"
system,99,A1,n,/sˈɪstəm/,hệ thống,The school uses a new system.,FALSE,179,67.36,545,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
question,100,A1,n,/kwˈɛstʃən/,câu hỏi; vấn đề,May I ask a question?,FALSE,181,67.34,542,GT,"Giao tiếp, ngôn ngữ & truyền thông"
always,101,A1,adv,/ˈɔlwˌeɪz/,luôn luôn,She is always on time.,FALSE,183,67.25,531,TG,Thời gian
big,102,A1,adj,/bˈɪɡ/,"to, lớn",They live in a big city.,FALSE,184,67.22,527,SL,"Số lượng, đo lường & kích thước"
set,103,A1,v,/sˈɛt/,đặt; thiết lập,Set the alarm for six.,FALSE,185,67.21,526,HD,Hành động & chuyển động
small,104,A1,adj,/smˈɔl/,"nhỏ, bé",This shirt is too small.,FALSE,186,67.2,525,SL,"Số lượng, đo lường & kích thước"
study,105,A1,v,/stˈʌdi/,học; nghiên cứu,I study English every evening.,FALSE,187,67.19,524,HT,Giáo dục & học tập
follow,106,A1,v,/fˈɑloʊ/,theo; đi theo; tuân theo,"Follow me, please.",FALSE,188,67.17,521,HD,Hành động & chuyển động
begin,107,A1,v,/bɪɡˈɪn/,bắt đầu,The show begins at noon.,FALSE,189,67.14,518,HD,Hành động & chuyển động
important,108,A1,adj,/ˌɪmpˈɔɹtənt/,quan trọng,Health is very important.,FALSE,190,67.14,518,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
run,109,A1,v,/ɹˈʌn/,chạy; vận hành,He runs every morning.,FALSE,192,67.08,510,HD,Hành động & chuyển động
turn,110,A1,v,/tˈɝn/,quay; rẽ; đến lượt,Turn left at the corner.,FALSE,194,67.07,509,HD,Hành động & chuyển động
bring,111,A1,v,/bɹˈɪŋ/,mang đến; đem lại,Bring your umbrella tomorrow.,FALSE,196,67,502,HD,Hành động & chuyển động
early,112,A1,adj,/ˈɝli/,sớm,I woke up early today.,FALSE,197,66.98,499,TG,Thời gian
hand,113,A1,n,/hˈænd/,bàn tay,Raise your hand to answer.,TRUE,198,66.97,497,NG,Con người & cơ thể
state,114,A1,n,/stˈeɪt/,trạng thái; bang; nhà nước,The country has fifty states.,FALSE,199,66.94,494,CT,"Chính trị, luật pháp & quân sự"
move,115,A1,v,/mˈuv/,di chuyển; chuyển,We moved to a new house.,FALSE,200,66.93,493,HD,Hành động & chuyển động
money,116,A1,n,/mˈʌni/,tiền,I don't have enough money.,FALSE,201,66.92,492,KT,"Kinh doanh, kinh tế & tài chính"
fact,117,A1,n,/fˈækt/,sự thật; sự việc,That is an interesting fact.,FALSE,202,66.86,486,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
area,118,A1,n,/ˈɛɹiə/,khu vực; diện tích,This area is very quiet.,FALSE,204,66.78,477,KG,"Không gian, vị trí & địa lý"
provide,119,A1,v,/pɹəvˈaɪd/,cung cấp,The hotel provides free wifi.,FALSE,205,66.78,476,HD,Hành động & chuyển động
name,120,A1,n,/nˈeɪm/,tên,What is your full name?,FALSE,206,66.74,472,GT,"Giao tiếp, ngôn ngữ & truyền thông"
read,121,A1,v,/ɹˈɛd/,đọc,She reads before going to bed.,FALSE,207,66.73,471,GT,"Giao tiếp, ngôn ngữ & truyền thông"
friend,122,A1,n,/fɹˈɛnd/,"bạn, bạn bè",He is my best friend.,FALSE,208,66.7,468,GD,Gia đình & quan hệ thân thuộc
month,123,A1,n,/mˈʌnθ/,tháng,February is a short month.,FALSE,209,66.7,468,TG,Thời gian
large,124,A1,adj,/lˈɑɹdʒ/,"lớn, rộng",They ordered a large pizza.,FALSE,210,66.67,464,SL,"Số lượng, đo lường & kích thước"
business,125,A1,n,/bˈɪznəs/,kinh doanh; công việc,She runs her own business.,FALSE,211,66.67,464,KT,"Kinh doanh, kinh tế & tài chính"
information,126,A1,n,/ˌɪnfɚmˈeɪʃən/,thông tin,I need more information about this.,FALSE,213,66.62,459,GT,"Giao tiếp, ngôn ngữ & truyền thông"
open,127,A1,v,/ˈoʊpən/,mở,Please open the window.,FALSE,214,66.61,459,HD,Hành động & chuyển động
order,128,A1,n,/ˈɔɹdɚ/,mệnh lệnh; đơn hàng; thứ tự,Your order will arrive tomorrow.,FALSE,215,66.59,456,KT,"Kinh doanh, kinh tế & tài chính"
government,129,A1,n,/ɡˈʌvɚmənt/,chính phủ,The government built a new road.,FALSE,216,66.58,455,CT,"Chính trị, luật pháp & quân sự"
word,130,A1,n,/wˈɝd/,từ; lời,I don't know this word.,FALSE,217,66.58,455,GT,"Giao tiếp, ngôn ngữ & truyền thông"
issue,131,A1,n,/ˈɪʃu/,vấn đề; số báo,We discussed an important issue.,FALSE,218,66.56,453,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
market,132,A1,n,/mˈɑɹkət/,chợ; thị trường,She buys fruit at the market.,TRUE,219,66.53,450,KT,"Kinh doanh, kinh tế & tài chính"
pay,133,A1,v,/pˈeɪ/,trả tiền; thanh toán,I will pay for lunch.,FALSE,220,66.51,447,KT,"Kinh doanh, kinh tế & tài chính"
build,134,A1,v,/bˈɪld/,xây dựng,They are building a new bridge.,FALSE,221,66.5,446,NC,"Nhà cửa, đồ vật & trang phục"
hold,135,A1,v,/hˈoʊld/,"cầm, giữ; tổ chức",Hold the baby carefully.,FALSE,222,66.45,442,HD,Hành động & chuyển động
service,136,A1,n,/sˈɝvəs/,dịch vụ; sự phục vụ,The restaurant has great service.,FALSE,223,66.44,440,KT,"Kinh doanh, kinh tế & tài chính"
believe,137,A1,v,/bɪlˈiv/,tin; tin tưởng,I believe you are right.,FALSE,225,66.38,435,TD,"Tư duy, nhận thức & giác quan"
second,138,A1,n,/sˈɛkənd/,giây; thứ hai,"Wait a second, please.",FALSE,226,66.36,433,TG,Thời gian
love,139,A1,v,/lˈʌv/,yêu; rất thích,I love my family.,FALSE,229,66.3,427,CX,"Cảm xúc, tính cách & thái độ"
increase,140,A1,v,/ˌɪnkɹˈis/,tăng; làm tăng,Prices increase every year.,FALSE,230,66.28,425,SL,"Số lượng, đo lường & kích thước"
job,141,A1,n,/dʒˈɑb/,"công việc, nghề",She found a new job.,FALSE,231,66.28,425,CV,Công việc & nghề nghiệp
plan,142,A1,n,/plˈæn/,kế hoạch,Do you have any plans tonight?,FALSE,232,66.28,425,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
result,143,A1,n,/ɹɪzˈʌlt/,kết quả,The test results are good.,FALSE,233,66.27,424,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
example,144,A1,n,/ɪɡzˈæmpəl/,ví dụ,"Give me an example, please.",FALSE,235,66.24,420,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
happen,145,A1,v,/hˈæpən/,xảy ra,What happened yesterday?,FALSE,236,66.23,420,HD,Hành động & chuyển động
offer,146,A1,v,/ˈɔfɚ/,đề nghị; mời; cung cấp,They offered me a job.,FALSE,237,66.21,418,GT,"Giao tiếp, ngôn ngữ & truyền thông"
young,147,A1,adj,/jˈʌŋ/,trẻ; nhỏ tuổi,She is still very young.,FALSE,238,66.2,417,NG,Con người & cơ thể
close,148,A1,v,/klˈoʊs/,đóng; gần,"Close the door, please.",FALSE,239,66.19,416,HD,Hành động & chuyển động
program,149,A1,n,/pɹˈoʊɡɹˌæm/,chương trình,I watched a TV program.,FALSE,240,66.17,414,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
lead,150,A1,v,/lˈɛd/,dẫn dắt; dẫn đến,She leads a big team.,FALSE,241,66.13,410,HD,Hành động & chuyển động
buy,151,A1,v,/bˈaɪ/,mua,I want to buy a new laptop.,FALSE,242,66.07,405,KT,"Kinh doanh, kinh tế & tài chính"
understand,152,A1,v,/ˌʌndɚstˈænd/,hiểu,I understand your problem.,FALSE,243,66.05,403,TD,"Tư duy, nhận thức & giác quan"
thank,153,A1,v,/θˈæŋk/,cảm ơn,I want to thank you all.,FALSE,244,66.01,399,GT,"Giao tiếp, ngôn ngữ & truyền thông"
far,154,A1,adv,/fˈɑɹ/,xa,Is the station far from here?,FALSE,245,66,398,KG,"Không gian, vị trí & địa lý"
today,155,A1,adv,/tədˈeɪ/,hôm nay,Today is my birthday.,FALSE,246,65.94,392,TG,Thời gian
hour,156,A1,n,/ˈaʊɚ/,"giờ, tiếng",The trip takes two hours.,FALSE,247,65.93,391,TG,Thời gian
student,157,A1,n,/stˈudənt/,"học sinh, sinh viên",She is a hard-working student.,FALSE,248,65.92,391,HT,Giáo dục & học tập
face,158,A1,n,/fˈeɪs/,khuôn mặt,He has a friendly face.,TRUE,249,65.91,390,NG,Con người & cơ thể
hope,159,A1,v,/hˈoʊp/,hy vọng,I hope you feel better soon.,FALSE,250,65.89,388,CX,"Cảm xúc, tính cách & thái độ"
idea,160,A1,n,/aɪdˈiə/,ý tưởng; ý kiến,I have a good idea.,FALSE,251,65.87,387,TD,"Tư duy, nhận thức & giác quan"
cost,161,A1,n,/kˈɑst/,"chi phí, giá",The cost of living is rising.,FALSE,252,65.86,386,KT,"Kinh doanh, kinh tế & tài chính"
room,162,A1,n,/ɹˈum/,căn phòng,My room is on the second floor.,TRUE,254,65.85,385,NC,"Nhà cửa, đồ vật & trang phục"
reason,163,A1,n,/ɹˈizən/,lý do,Give me one good reason.,FALSE,256,65.83,383,TD,"Tư duy, nhận thức & giác quan"
form,164,A1,n,/fˈɔɹm/,hình thức; mẫu đơn,Please fill in this form.,TRUE,257,65.79,379,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
spend,165,A1,v,/spˈɛnd/,tiêu (tiền); dành (thời gian),I spend an hour reading daily.,FALSE,258,65.78,378,KT,"Kinh doanh, kinh tế & tài chính"
head,166,A1,n,/hˈɛd/,cái đầu; người đứng đầu,She turned her head slowly.,TRUE,259,65.77,378,NG,Con người & cơ thể
car,167,A1,n,/kˈɑɹ/,"xe hơi, ô tô",He drives an old car.,TRUE,260,65.77,377,DL,Giao thông & du lịch
learn,168,A1,v,/lˈɝn/,học; học được,I want to learn Japanese.,FALSE,261,65.74,375,HT,Giáo dục & học tập
level,169,A1,n,/lˈɛvəl/,cấp độ; mức,She is at an advanced level.,FALSE,262,65.71,373,SL,"Số lượng, đo lường & kích thước"
person,170,A1,n,/pˈɝsən/,người,He is a very kind person.,FALSE,263,65.66,368,NG,Con người & cơ thể
experience,171,A1,n,/ɪkspˈɪɹiəns/,kinh nghiệm; trải nghiệm,She has years of experience.,FALSE,264,65.63,365,TD,"Tư duy, nhận thức & giác quan"
once,172,A1,adv,/wˈʌns/,một lần; đã từng,I visit them once a month.,FALSE,265,65.62,365,TG,Thời gian
member,173,A1,n,/mˈɛmbɚ/,thành viên,He is a member of the club.,FALSE,266,65.61,364,XH,"Xã hội, cộng đồng, văn hóa & tôn giáo"
bad,174,A1,adj,/bˈæd/,xấu; tệ,The weather is bad today.,FALSE,268,65.59,363,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
city,175,A1,n,/sˈɪti/,thành phố,Tokyo is a huge city.,TRUE,269,65.59,362,KG,"Không gian, vị trí & địa lý"
night,176,A1,n,/nˈaɪt/,"ban đêm, buổi tối",I sleep eight hours a night.,FALSE,270,65.58,361,TG,Thời gian
able,177,A1,adj,/ˈeɪbəl/,"có khả năng, có thể",She is able to speak French.,FALSE,271,65.57,361,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
support,178,A1,v,/səpˈɔɹt/,ủng hộ; hỗ trợ,My parents support my decision.,FALSE,272,65.55,359,XH,"Xã hội, cộng đồng, văn hóa & tôn giáo"
line,179,A1,n,/lˈaɪn/,đường; hàng; dòng,Draw a straight line here.,FALSE,274,65.54,358,KG,"Không gian, vị trí & địa lý"
present,180,A1,n,/pɹˈɛzənt/,món quà; hiện tại (adj),She gave me a nice present.,FALSE,275,65.54,358,XH,"Xã hội, cộng đồng, văn hóa & tôn giáo"
side,181,A1,n,/sˈaɪd/,phía; bên; mặt,Sit on this side of the table.,FALSE,276,65.51,356,KG,"Không gian, vị trí & địa lý"
quite,182,A1,adv,/kwˈaɪt/,khá; hoàn toàn,The film was quite good.,FALSE,277,65.5,354,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
sure,183,A1,adj,/ʃˈʊɹ/,chắc chắn,Are you sure about this?,FALSE,279,65.45,351,TD,"Tư duy, nhận thức & giác quan"
term,184,A1,n,/tˈɝm/,thuật ngữ; kỳ hạn; học kỳ,This is a technical term.,FALSE,280,65.44,350,GT,"Giao tiếp, ngôn ngữ & truyền thông"
age,185,A1,n,/ˈeɪdʒ/,tuổi; thời đại,What is your age?,FALSE,282,65.43,349,NG,Con người & cơ thể
low,186,A1,adj,/lˈoʊ/,thấp,The prices are very low.,FALSE,283,65.43,349,SL,"Số lượng, đo lường & kích thước"
speak,187,A1,v,/spˈik/,nói; nói chuyện,Can you speak English?,FALSE,284,65.42,348,GT,"Giao tiếp, ngôn ngữ & truyền thông"
process,188,A1,n,/pɹˈɑsˌɛs/,quá trình; quy trình,Learning is a slow process.,FALSE,286,65.4,346,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
public,189,A1,adj,/pˈʌblɪk/,công cộng; công khai,This is a public library.,FALSE,287,65.35,343,XH,"Xã hội, cộng đồng, văn hóa & tôn giáo"
often,190,A1,adv,/ˈɔfən/,thường xuyên,I often go swimming.,FALSE,288,65.33,341,TG,Thời gian
train,191,A1,n,/tɹˈeɪn/,tàu hỏa,I take the train to work.,TRUE,289,65.29,338,DL,Giao thông & du lịch
possible,192,A1,adj,/pˈɑsəbəl/,có thể; khả thi,Is it possible to change the date?,FALSE,290,65.28,337,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
